x,y,ux,uy
   5.00000e-02,   5.00000e-01,   3.83145e-03,   1.24223e-02
   1.00000e-01,   5.00000e-01,   3.40658e-03,   1.23418e-02
   1.50000e-01,   5.00000e-01,   2.97865e-03,   1.22592e-02
   2.00000e-01,   5.00000e-01,   2.54931e-03,   1.21806e-02
   2.50000e-01,   5.00000e-01,   2.12017e-03,   1.21106e-02
   3.00000e-01,   5.00000e-01,   1.69241e-03,   1.20516e-02
   3.50000e-01,   5.00000e-01,   1.26669e-03,   1.20051e-02
   4.00000e-01,   5.00000e-01,   8.43041e-04,   1.19717e-02
   4.50000e-01,   5.00000e-01,   4.21062e-04,   1.19517e-02
   5.00000e-01,   5.00000e-01,  -2.81762e-16,   1.19450e-02
   5.50000e-01,   5.00000e-01,  -4.21062e-04,   1.19517e-02
   6.00000e-01,   5.00000e-01,  -8.43041e-04,   1.19717e-02
   6.50000e-01,   5.00000e-01,  -1.26669e-03,   1.20051e-02
   7.00000e-01,   5.00000e-01,  -1.69241e-03,   1.20516e-02
   7.50000e-01,   5.00000e-01,  -2.12017e-03,   1.21106e-02
   8.00000e-01,   5.00000e-01,  -2.54931e-03,   1.21806e-02
   8.50000e-01,   5.00000e-01,  -2.97865e-03,   1.22592e-02
   9.00000e-01,   5.00000e-01,  -3.40658e-03,   1.23418e-02
   9.50000e-01,   5.00000e-01,  -3.83145e-03,   1.24223e-02
   1.00000e+00,   5.00000e-01,  -4.25213e-03,   1.24921e-02
   0.00000e+00,   5.50000e-01,   4.31335e-03,   1.36921e-02
   5.00000e-02,   5.50000e-01,   3.88984e-03,   1.36389e-02
   1.00000e-01,   5.50000e-01,   3.46257e-03,   1.35743e-02
   1.50000e-01,   5.50000e-01,   3.03199e-03,   1.35056e-02
   2.00000e-01,   5.50000e-01,   2.59910e-03,   1.34384e-02
   2.50000e-01,   5.50000e-01,   2.16505e-03,   1.33769e-02
   3.00000e-01,   5.50000e-01,   1.73081e-03,   1.33241e-02
   3.50000e-01,   5.50000e-01,   1.29706e-03,   1.32818e-02
   4.00000e-01,   5.50000e-01,   8.64082e-04,   1.32510e-02
   4.50000e-01,   5.50000e-01,   4.31827e-04,   1.32324e-02
   5.00000e-01,   5.50000e-01,  -3.30113e-16,   1.32262e-02
   5.50000e-01,   5.50000e-01,  -4.31827e-04,   1.32324e-02
   6.00000e-01,   5.50000e-01,  -8.64082e-04,   1.32510e-02
   6.50000e-01,   5.50000e-01,  -1.29706e-03,   1.32818e-02
